ID.pts,long,lat,bio12,bio14,bio15,elevation,prop_cropland,prop_water,prop_urban,prop_grassland,prop_snow_ice,prop_treecover,prop_shrubland,NDVI.mean,NDVI.SD,bio1,Zooreg,RealmID,Realm_incomplete,Realm
480,26.27,39.12,644,5,80,307,0.043355325,0.244580584,0.001649387,0.033694628,0,0.025447691,0.034637135,3955,3752,160,9,12,Palearctic,Palearctic
481,26.84,39.66,710,10,68,935,0.001404494,0.005617978,0.00585206,0,0,0.242509363,0,6379,1904,148,9,12,Palearctic,Palearctic
482,20.82,43.28,887,59,14,1677,0.084163898,0,0.000442968,0.026799557,0,0.634330011,0,5199,2785,76,9,12,Palearctic,Palearctic
483,19.98,44.1,864,55,19,918,0.291175186,0,0,0.082787243,0,0.387723897,0,5587,2689,91,11,12,Palearctic,Palearctic
484,20.01118889,44.12791389,850,53,20,732,0.339157021,0,0,0.077746233,0,0.367329111,0,5582,2638,90,11,12,Palearctic,Palearctic
485,168.2704,-16.7411,2452,103,34,344,0,0.273412583,0,0,0,0.719918817,0,4641,4805,238,17,6,Oceanina,Oceanian
486,167.5161,-16.3032,2106,78,42,569,0,0,0,0,0,1,0,7483,2998,240,17,6,Oceanina,Oceanian
487,168.1564,-16.2478,2501,102,35,718,0.016569767,0.066860465,0,0.000581395,0,0.79127907,0,4639,3923,228,17,6,Oceanina,Oceanian
488,166.9182,-15.3004,2958,139,30,251,0.075890251,0,0,0,0,0.924109749,0,7636,2383,245,17,6,Oceanina,Oceanian
489,167.5161,-14.281,3764,189,23,439,0.010856808,0.145833333,0.001173709,0,0,0.830692488,0,2932,4837,246,17,6,Oceanina,Oceanian
490,167.4472,-13.8443,4115,220,21,408,0.004707267,0.226831421,0,0,0,0.762871433,0,3186,5199,246,17,6,Oceanina,Oceanian
491,169.8073,-20.2005,2221,108,36,433,0.033787621,0.498580352,0,0,0,0.384156729,0,811,5033,219,19,3,Australian,Oceanian
492,169.3578,-19.5155,1536,53,49,486,0.006,0.132857143,0.001428571,0,0,0.836285714,0,6234,3975,220,17,6,Oceanina,Oceanian
493,169.1549,-18.8228,1717,61,48,265,0.000573394,0.062213303,0,0,0,0.935493119,0,7506,2434,226,17,6,Oceanina,Oceanian
494,168.4297,-17.6577,2400,109,43,284,0.025382175,0.0204788,0,0,0,0.953273724,0,6932,2884,234,17,6,Oceanina,Oceanian
495,153.1431,-28.1735,1550,45,43,589,0,0,0,0,0,0.820636194,0.177225341,7580,1681,172,16,3,Australian,Australian
496,153,-27.5,1192,35,40,25,0,0.01972973,0.758108108,0,0,0.152162162,0.065675676,5676,1940,201,16,3,Australian,Australian
497,153.1431,-27.1735,1283,34,43,NA,0,0.884159483,0.079202586,0,0,0.014008621,0.009159483,-1294,3567,202,NA,NA,NA,Australian
498,151.2489,-23.8426,904,24,56,10,0.024349751,0.363862756,0.101826231,0.000553403,0,0.135030437,0.191754289,1437,4078,225,16,3,Australian,Australian
499,151.9148,-23.4423,NA,NA,NA,NA,0,0.999444599,0,0,0,0,0,-3000,0,NA,NA,NA,NA,Australian
500,140.7392,-27.7076,177,6,44,61,0,0,0,0,0,0,0,2672,1050,219,16,3,Australian,Australian
501,145.4761,-17.2668,1492,27,82,790,0.168883748,0,0.025448236,0,0,0.554945055,0.246674378,6247,2022,204,16,3,Australian,Australian
502,145.4185,-16.2203,2058,27,92,92,0.013372093,0.249709302,0.017151163,0,0,0.569476744,0.00377907,4046,4766,250,16,3,Australian,Australian
503,122.2443,-17.9512,596,1,129,15,0.002300173,0.483036228,0.034502588,0,0,0.005750431,0.386428982,-612,3261,268,NA,NA,NA,Australian
504,142.4845,-38.1828,817,31,30,92,0.019350215,0.000477783,0,0.278786431,0,0.006688963,0.011705686,6344,1722,135,16,3,Australian,Australian
505,144,-35.5,396,21,20,80,0.569067588,0,0,0.003946719,0,0.178095708,0.217069561,4934,1578,161,16,3,Australian,Australian
506,150.54,-34.23,1056,47,28,382,0.00075339,0,0.02862883,0,0,0.70592667,0.262682069,7114,854,152,16,3,Australian,Australian
507,115.6906,-32.3057,821,7,84,6,0.017440369,0.740189792,0.155680944,0,0,0.034367787,0.015388561,-796,3249,184,NA,NA,NA,Australian
508,143.9371,-39.8753,1010,35,39,62,0.141756189,0.076833255,0.001401214,0.346567025,0,0.195002335,0.022652966,3982,5019,132,16,3,Australian,Australian
509,105.6904,-10.4475,1899,24,59,191,0.076923077,0.742098986,0,0,0,0.173822302,0,-843,4044,255,17,7,Oriental,Oriental
510,-159.7777,-21.2367,2334,121,28,178,0.056715576,0.781320542,0,0,0,0.159988713,0,-1276,3763,237,19,6,Oceanina,Oceanian
511,178.065,-17.7134,2932,138,33,695,0.019047619,0.00952381,0,0,0,0.939105339,0,7657,2132,223,19,6,Oceanina,Oceanian
512,101.6869,3.139,2428,130,26,54,0.043124246,0.006031363,0.867008444,0,0,0.048552473,0,3529,1480,268,14,7,Oriental,Oriental
513,168.734,-3.3704,NA,NA,NA,NA,0,1,0,0,0,0,0,-3000,0,NA,NA,NA,NA,Oceanian
514,166.7515,-22.168181,1857,84,34,320,0.022203485,0.094997189,0,0,0,0.50871276,0.308881394,5750,2823,219,19,3,Australian,Oceanian
515,166.3313,-22.07786,1066,48,37,248,0.157939189,0.019144144,0.001407658,0,0,0.658220721,0.026182432,6333,1697,224,19,3,Australian,Oceanian
516,166.33132,-22.066667,1066,48,37,248,0.146719234,0.00675866,0.001408054,0,0,0.689946494,0.025908195,6379,1602,224,19,3,Australian,Oceanian
517,165.85473,-21.756033,1317,57,43,76,0.262018555,0.03204948,0.000562272,0,0,0.39921282,0.001124543,6567,1582,221,17,6,Oceanina,Oceanian
518,165.81795,-21.61865,1433,64,43,455,0.085304054,0,0,0,0,0.837274775,0,7709,1862,211,17,6,Oceanina,Oceanian
519,167.12354,-20.788467,1573,62,39,33,0.002266289,0.511331445,0,0,0,0.468838527,0,2490,5631,228,NA,NA,NA,Oceanian
520,167.0607,-20.7677,1573,62,39,59,0.001983565,0.759705299,0,0,0,0.222442618,0,-552,4639,228,NA,NA,NA,Oceanian
521,167.39778,-21.138889,1812,74,38,73,0.001978519,0.538722442,0.000282646,0,0,0.439796495,0,2664,5636,227,17,3,Australian,Oceanian
522,167.25222,-20.89889,1691,67,39,52,0.00311174,0.24950495,0,0,0,0.733804809,0,4565,5332,227,17,3,Australian,Oceanian
523,167.89337,-21.5858,2064,90,35,56,0,0.525500141,0,0,0,0.444350521,0,868,5262,225,NA,NA,NA,Oceanian
524,167.989,-21.494,2024,88,36,59,0.091549296,0.154366197,0,0,0,0.742816901,0,6237,3885,226,17,3,Australian,Oceanian
525,166.57115,-20.6063,1303,60,38,16,0.006227003,0.798754599,0,0,0,0.169544297,0,-1443,3812,231,17,3,Australian,Oceanian
526,166.63368,-20.440883,1351,61,39,26,0.00368899,0.820374574,0,0,0,0.131101022,0,-1475,3697,232,17,3,Australian,Oceanian
527,166.1329,-50.7715,1543,110,9,257,0.013092029,0.40219484,0,0.287061995,0,0.061802079,0.107624182,-162,4030,64,5,2,Neotropical,Australian
528,172.8667,-41.9,1812,96,15,1559,0.003628941,0.02449535,0,0.146972103,0,0.459968247,0.188931731,5477,3243,59,18,3,Australian,Australian
529,174.7762,-41.2865,1242,60,22,98,0.016457143,0.355428571,0.135314286,0.129371429,0,0.059657143,0.106057143,3139,5081,125,18,3,Australian,Australian
530,175.6082,-40.3523,1189,71,16,33,0.007414272,0,0.134383689,0.818350324,0,0.011353105,0,7144,1396,129,18,3,Australian,Australian
531,172.6333,-41.8667,1917,103,15,565,0.001588382,0.078965283,0,0.038121171,0,0.808486499,0.01316088,6647,3018,83,18,3,Australian,Australian
532,174.9141,-40.8519,1220,62,17,212,0.000919329,0.885313721,0.039990807,0.013560101,0,0.017007584,0.029188692,582,5035,129,NA,NA,NA,Australian
533,175.5802,-39.2727,3408,180,19,2311,0,0,0,0.068924959,0.017878146,0.132439426,0.223006351,4157,3282,62,18,3,Australian,Australian
534,178.0176,-38.6623,1290,68,26,51,0.015869256,0.342728565,0.063950734,0.314306016,0,0.033870204,0.017764093,2578,4845,135,18,3,Australian,Australian
